name,bikes,docks,docksAvailable
BT-01,5,18,13
BT-03,7,16,9
BT-04,4,16,12
BT-05,7,14,7
CBD-03,11,20,9
CBD-04,0,18,18
CBD-05,28,28,0
CBD-06,27,27,0
CBD-07,6,20,14
CBD-13,12,18,6
CD-01,0,16,16
CH-01,6,16,10
CH-02,17,18,1
CH-03,8,16,8
CH-05,13,16,3
CH-06,4,16,12
CH-07,7,18,11
CH-08,14,28,14
CH-09,6,16,10
CH-12,5,18,13
CH-15,10,16,6
DPD-01,5,18,13
DPD-03,14,30,16
EL-01,1,12,11
EL-03,8,18,10
EL-05,14,18,4
FH-01,6,16,10
FH-04,6,20,14
ID-04,11,16,5
PS-04,23,23,0
PS-05,14,18,4
SLU-01,11,18,7
SLU-02,7,18,11
SLU-04,14,18,4
SLU-07,5,18,13
SLU-15,11,12,1
SLU-16,8,20,12
SLU-17,9,18,9
SLU-18,8,20,12
SLU-19,7,12,5
SLU-20,0,20,20
SLU-21,0,20,20
UD-01,6,18,12
UD-02,9,18,9
UD-04,11,16,5
UD-07,6,16,10
UW-01,3,16,13
UW-02,4,12,8
UW-04,11,18,7
UW-06,5,12,7
UW-07,11,20,9
UW-10,10,16,6
WF-01,13,18,5
WF-04,7,18,11
CH-16,0,18,18
SLU-22,0,18,18
UW-11,0,16,16
WF-03,0,18,18
